1 2.0
2 1.5
3 -1.5
4 -1.5
5 -2.0
6 0.0
7 1.5
8 -1.0
9 -4.0
10 -3.0
11 -3.0
12 -0.5
13 1.0
14 4.0
15 1.5
16 2.5
17 2.0
18 0.0
19 -0.5
20 1.0
21 -1.5
22 -3.0
23 -1.0
24 -5.0
25 -7.5
26 -8.5
27 -5.0
28 -4.5
29 -2.0
30 -2.5
31 -4.5
32 -1.5
33 -0.5
34 0.0
35 -0.5
36 1.0
37 1.5
38 0.0
39 0.5
40 -1.5
41 0.5
42 -2.0
43 -2.5
44 -2.0
45 -1.5
46 1.5
47 0.0
48 -3.5
49 -2.5
50 -5.0
51 -7.5
52 -11.0
53 -10.5
54 -7.5
55 -7.5
56 -6.5
57 -8.0
58 -7.5
59 -6.0
60 -6.0
61 -7.0
62 -4.5
63 -3.0
64 -1.5
65 -3.0
66 -1.5
67 -3.0
68 -3.5
69 -3.5
70 -4.0
71 -0.5
72 -2.5
73 -2.0
74 -3.0
75 -3.5
76 -2.5
77 -1.5
78 -1.5
79 -0.5
80 -0.5
81 -1.5
82 -2.5
83 -2.5
84 -4.5
85 -1.0
86 -1.0
87 -3.5
88 -5.0
89 -4.5
90 -6.5
91 -7.5
92 -9.5
93 -7.0
94 -3.0
95 -4.5
96 -5.0
97 -3.5
98 -3.5
99 -3.5
