ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:  235000         0.0000         0.0000         0.0000         0.0000          -5579.1940       372.9023         0.0000         0.0000       937.1320          -4269.1597       297.7186     -5206.2917     -4266.4638       301.5457           -474.9027      -458.5799     22756.2057      -195.2342      -195.1118
ENERGY:  240000         0.0000         0.0000         0.0000         0.0000          -5608.4502       395.5132         0.0000         0.0000       933.4275          -4279.5094       296.5417     -5212.9369     -4277.8675       300.8473           -291.2023      -267.4531     22908.7863      -273.2738      -273.3602
ENERGY:  245000         0.0000         0.0000         0.0000         0.0000          -5583.9988       354.9375         0.0000         0.0000       954.4074          -4274.6540       303.2068     -5229.0614     -4271.7723       296.8171           -487.7844      -470.2370     22685.9674      -229.9675      -229.7149
ENERGY:  250000         0.0000         0.0000         0.0000         0.0000          -5645.6937       419.6135         0.0000         0.0000       984.6274          -4241.4529       312.8075     -5226.0802     -4240.3496       298.3455           -248.3253      -238.1791     22997.8496      -230.2945      -230.1895
ENERGY:  255000         0.0000         0.0000         0.0000         0.0000          -5557.1828       347.3102         0.0000         0.0000       944.0239          -4265.8487       299.9081     -5209.8726     -4263.8424       299.4090           -990.9250      -986.1214     22865.8411      -180.4438      -180.4452
ENERGY:  260000         0.0000         0.0000         0.0000         0.0000          -5647.3441       403.5839         0.0000         0.0000       921.1979          -4322.5623       292.6565     -5243.7602     -4320.8477       294.7676            109.4376       127.5591     22526.9552      -241.3589      -241.2610
ENERGY:  265000         0.0000         0.0000         0.0000         0.0000          -5576.9565       371.5401         0.0000         0.0000       952.2088          -4253.2076       302.5084     -5205.4164     -4250.2819       298.2351            -22.3106        -7.4773     22507.8106      -211.1124      -211.0415
ENERGY:  270000         0.0000         0.0000         0.0000         0.0000          -5559.8432       379.2033         0.0000         0.0000       987.5175          -4193.1224       313.7257     -5180.6399     -4189.9092       305.0801           -324.1515      -303.5900     23033.0045      -239.9311      -239.8504
ENERGY:  275000         0.0000         0.0000         0.0000         0.0000          -5617.8912       375.2502         0.0000         0.0000       982.1379          -4260.5031       312.0166     -5242.6410     -4259.0094       301.3934            -19.2767        -9.6977     22268.0665      -159.1744      -159.1007
ENERGY:  280000         0.0000         0.0000         0.0000         0.0000          -5607.6915       409.1923         0.0000         0.0000       949.9739          -4248.5253       301.7984     -5198.4992     -4246.8699       298.1207            -66.8446       -42.2710     22848.5891      -238.2895      -238.4095
ENERGY:  285000         0.0000         0.0000         0.0000         0.0000          -5577.7719       392.6789         0.0000         0.0000       952.8223          -4232.2707       302.7033     -5185.0930     -4229.9066       301.4919           -187.2885      -161.1078     22801.9759      -300.0716      -300.0483
ENERGY:  290000         0.0000         0.0000         0.0000         0.0000          -5609.9551       398.8071         0.0000         0.0000       950.0664          -4261.0816       301.8278     -5211.1480     -4260.9668       302.2078           -457.9818      -446.5095     22888.5663      -243.0607      -243.0713
ENERGY:  295000         0.0000         0.0000         0.0000         0.0000          -5681.0771       411.1346         0.0000         0.0000      1015.5371          -4254.4055       322.6272     -5269.9425     -4252.3409       298.2719             69.4072        84.1497     22514.4064      -151.4468      -151.5807
ENERGY:  300000         0.0000         0.0000         0.0000         0.0000          -5597.5117       382.0374         0.0000         0.0000       949.5809          -4265.8934       301.6735     -5215.4743     -4262.4702       297.9502           -175.2392      -151.9644     22443.4010      -270.8691      -270.7629
ENERGY:  305000         0.0000         0.0000         0.0000         0.0000          -5545.5792       399.9111         0.0000         0.0000       914.5047          -4231.1634       290.5301     -5145.6680     -4229.4827       298.1333              9.2073        20.7201     22769.2194      -155.5600      -155.6959
ENERGY:  310000         0.0000         0.0000         0.0000         0.0000          -5583.3361       420.1833         0.0000         0.0000       957.1427          -4206.0101       304.0758     -5163.1528     -4204.0768       304.3938           -253.6419      -227.2812     22829.7631      -219.0732      -219.1029
ENERGY:  315000         0.0000         0.0000         0.0000         0.0000          -5656.9266       438.7617         0.0000         0.0000       955.9049          -4262.2600       303.6826     -5218.1649     -4258.6596       300.3656            464.9120       488.7599     22636.3069      -264.7203      -264.6425
ENERGY:  320000         0.0000         0.0000         0.0000         0.0000          -5612.6965       383.3781         0.0000         0.0000       952.9650          -4276.3534       302.7486     -5229.3183     -4275.2263       299.2304           -757.1194      -738.3717     23106.0971      -198.0162      -198.0055
ENERGY:  325000         0.0000         0.0000         0.0000         0.0000          -5710.1042       431.8657         0.0000         0.0000       947.1242          -4331.1144       300.8930     -5278.2386     -4329.6159       299.0968            197.5958       237.7819     22564.9237      -237.2561      -237.2733
ENERGY:  330000         0.0000         0.0000         0.0000         0.0000          -5609.9697       393.4445         0.0000         0.0000       917.1562          -4299.3690       291.3725     -5216.5252     -4296.8188       293.1987            117.2103       136.7556     22526.5260      -227.5293      -227.5334
ENERGY:  335000         0.0000         0.0000         0.0000         0.0000          -5655.5016       395.7569         0.0000         0.0000       960.7552          -4298.9895       305.2235     -5259.7447     -4296.5501       295.4236           -121.4834      -115.9064     22503.8436      -227.3879      -227.2416
